VIN,VIN_1,VIN_2,VIN_3,VIN_4,VIN_5,VIN_6,VIN_7,VIN_8,VIN_9,VIN_10,VIN_11,VIN_12,STATE,VEH_NO,NUMOCCS,MAKE,MODEL,BODY_TYP,REG_STAT,OWNER,ROLLOVER,J_KNIFE,TRAV_SP,HAZ_INV,HAZ_PLAC,HAZ_CNO,HAZ_REL,TOW_VEH,V_CONFIG,CARGO_BT,HIT_RUN,ROLINLOC,SPEC_USE,EMER_USE,IMPACT1,IMPACT2,UNDERIDE,DEFORMED,IMPACTS,TOWED,FIRE_EXP,VEH_CF1,VEH_CF2,VEH_MAN,AVOID,M_HARM,DEATHS,SEQ1,SEQ2,SEQ3,SEQ4,SEQ5,SEQ6,VIN_LNGT,BUS_USE,GVWR,UNITTYPE,MCARR_I1,ST_CASE,HAZ_ID,MAK_MOD,MOD_YEAR,VINA_MOD,SER_TR,VIN_BT,MCARR_I2,FLDCD_TR,MCARR_ID,WHLBS_SH,WHLBS_LG,MCYCL_DS,VIN_WGT,WGTCD_TR,DR_PRES,DR_DRINK,L_STATE,L_TYPE,L_STATUS,CDL_STAT,L_ENDORS,L_COMPL,L_RESTRI,VIOLCHG1,VIOLCHG2,VIOLCHG3,SPEEDREL,PREV_ACC,PREV_SUS,PREV_DWI,PREV_SPD,PREV_OTH,LAST_MO,FIRST_MO,DR_CF1,DR_CF2,DR_CF3,DR_CF4,DR_WGT,DR_HGT,D_VISION1,D_VISION2,D_VISION3,LAST_YR,FIRST_YR,DR_ZIP,MONTH,DAY,HOUR,MINUTE,HARM_EV,MAN_COLL,VE_FORMS
4A3AC34G41E0,4,A,3,A,C,3,4,G,4,1,E,0,5,3,1,52,37,3,5,1,0,0,998,1,0,0,0,0,0,0,0,0,0,0,12,12,0,6,1,2,0,0,0,1,0,12,0,12,0,0,0,0,0,17,0,0,1,0,50025,0,52037,2001,ERS,***,2H,000000000,*,00000000000,1008,0,,2855,,1,0,5,1,6,0,0,3,0,0,0,0,0,1,0,0,0,0,7,7,38,39,0,0,160,67,0,0,0,2006,2006,72081,1,21,14,32,12,4,3
1G4HP52K93U1,1,G,4,H,P,5,2,K,9,3,U,1,5,1,1,18,2,4,48,1,0,0,998,1,0,0,0,0,0,0,0,0,0,0,1,1,0,6,1,2,1,0,0,17,0,2,1,63,34,18,42,2,0,17,0,0,1,0,50026,0,18002,2003,LCF,***,4D,000000000,*,00000000000,1122,0,,3567,,1,0,48,1,6,0,0,3,3,0,0,0,0,0,0,0,1,0,4,4,6,0,0,0,155,67,99,99,99,2006,2006,75230,1,23,0,40,42,0,1
1G6KE54Y35U1,1,G,6,K,E,5,4,Y,3,5,U,1,5,1,1,19,3,4,5,2,0,0,98,1,0,0,0,0,0,0,0,0,0,0,11,11,0,6,2,2,0,0,0,99,1,12,1,12,0,0,0,0,0,17,0,0,1,0,50027,0,19003,2005,DHS,***,4D,000000000,*,00000000000,1153,0,,4049,,1,0,5,1,6,0,0,3,3,0,0,0,0,0,0,0,0,0,0,0,38,0,0,0,150,61,0,0,0,0,0,72342,1,23,13,45,12,5,2
1N4AL11D72C2,1,N,4,A,L,1,1,D,7,2,C,2,5,2,1,35,47,4,5,1,0,0,98,1,0,0,0,0,0,0,0,0,0,0,12,12,0,6,1,2,0,0,0,1,4,12,0,12,64,34,0,0,0,17,0,0,1,0,50027,0,35047,2002,ABS,***,4D,000000000,*,00000000000,1102,0,,2873,,1,0,5,1,6,0,0,3,3,0,0,0,0,0,2,0,2,0,5,3,0,0,0,0,140,69,0,0,0,2007,2007,72342,1,23,13,45,12,5,2
1HD4CAM153K4,1,H,D,4,C,A,M,1,5,3,K,4,5,1,1,72,706,80,5,1,0,0,998,1,0,0,0,0,0,0,0,0,0,0,9,9,0,6,1,2,0,0,0,16,0,12,1,12,0,0,0,0,0,17,0,0,1,0,50028,0,72706,2003,X88,***,RS,000000000,*,00000000000,,,883,,,1,1,5,1,6,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,160,69,99,99,99,0,0,72937,1,23,18,14,12,7,2
1M2AG10YX6M0,1,M,2,A,G,1,0,Y,X,6,M,0,5,2,1,86,881,66,48,3,0,1,998,1,0,0,0,1,19,3,0,0,0,0,5,5,0,6,2,2,0,0,0,1,0,12,0,12,0,0,0,0,0,17,0,3,1,57,50028,0,86881,2006,CV7,700,DS,691404,D,57691404,0,0,,,8,1,0,5,1,6,6,1,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,200,76,0,0,0,0,0,72937,1,23,18,14,12,7,2
1FTNX21L3YED,1,F,T,N,X,2,1,L,3,Y,E,D,5,1,3,12,481,31,5,2,1,0,998,1,0,0,0,0,0,0,0,5,0,0,12,1,0,6,1,2,0,0,0,1,0,1,1,64,34,1,1,1,30,17,0,0,1,0,50029,0,12481,2000,F2S,SRW,4C,000000000,G,00000000000,1418,1580,,,2,1,1,5,1,1,0,0,2,3,0,0,0,1,1,6,2,0,2,10,8,5,6,0,0,200,74,0,0,0,2008,2008,71851,1,23,20,57,1,0,1
JS3TX92V4641,J,S,3,T,X,9,2,V,4,6,4,1,5,1,1,53,404,14,29,1,1,0,998,1,0,0,0,0,0,0,0,4,0,0,11,11,0,6,1,2,0,0,0,17,0,1,1,64,34,1,1,38,18,17,0,0,1,0,50030,0,53404,2006,XL7,***,UT,000000000,*,00000000000,1102,0,,3638,,1,0,29,1,6,0,0,3,3,0,0,0,1,0,0,0,2,0,9,5,0,0,0,0,130,67,99,99,99,2008,2007,65641,1,26,14,35,34,0,1
3GNEK13T82G2,3,G,N,E,K,1,3,T,8,2,G,2,5,1,2,20,482,31,28,9,1,0,998,1,0,0,0,0,0,0,0,6,0,0,9,9,0,6,1,2,0,0,0,1,0,1,2,63,37,1,42,0,0,17,0,0,1,0,50031,0,20482,2002,KAV,AVL,CW,000000000,G,00000000000,1300,0,,,2,1,0,99,9,9,9,9,9,9,0,0,0,1,99,99,99,99,99,99,99,87,0,0,0,999,999,0,0,0,9999,9999,99999,1,27,3,50,1,0,1
1FUJA6CK27LW,1,F,U,J,A,6,C,K,2,7,L,W,5,1,1,82,883,66,5,3,0,1,998,1,0,0,0,1,6,1,0,0,0,0,1,1,0,6,3,2,0,0,0,17,4,12,0,12,65,12,0,0,0,17,0,3,1,57,50032,0,82883,2007,COL,CON,DS,0173829,D,570173829,0,0,,,8,1,0,5,1,6,6,1,3,3,0,0,0,0,0,0,0,0,2,12,11,87,0,0,0,160,69,0,0,0,2008,2006,72034,1,28,6,34,12,5,3
1FTRF172X2KE,1,F,T,R,F,1,7,2,X,2,K,E,5,2,1,12,481,31,5,3,0,0,998,1,0,0,0,0,0,0,0,0,0,0,9,9,0,6,2,2,0,0,0,9,4,12,1,12,63,0,0,0,0,17,0,0,1,0,50032,0,12481,2002,F15,COF,PK,000000000,G,00000000000,1199,1385,,,2,1,0,5,1,6,0,0,3,3,0,0,0,0,0,0,0,0,0,0,0,87,0,0,0,155,70,0,0,0,0,0,72150,1,28,6,34,12,5,3
