STATE,VEH_NO,PER_NO,N_MOT_NO,AGE,SEX,PER_TYP,SEAT_POS,REST_USE,AIR_BAG,EJECTION,EJ_PATH,EXTRICAT,LOCATION,DRINKING,ALC_DET,ATST_TYP,ALC_RES,ALC_STATUS,DRUGS,DSTATUS,DRUG_DET,DRUGTST1,DRUGRES1,DRUGTST2,DRUGRES2,DRUGTST3,DRUGRES3,INJ_SEV,HOSPITAL,DEATH_MO,DEATH_DA,DEATH_HR,DEATH_MN,LAG_HRS,LAG_MINS,RACE,HISPANIC,P_CF1,P_CF2,P_CF3,WORK_INJ,DOA,ST_CASE,DEATH_YR,DEATH_TM,CERT_NO,MAKE,BODY_TYP,ROLLOVER,TOW_VEH,SPEC_USE,EMER_USE,IMPACT1,IMPACT2,IMPACTS,FIRE_EXP,MAK_MOD,MOD_YEAR,VINA_MOD,SER_TR,VIN_BT,WHLBS_SH,WHLBS_LG,MCYCL_DS,VIN_WGT,WGTCD_TR,COUNTY,MONTH,DAY,HOUR,MINUTE,ROAD_FNC,HARM_EV,MAN_COLL,SCH_BUS,VE_FORMS
48,1,2,0,53,1,2,13,0,0,0,0,0,0,8,9,0,96,0,8,0,8,0,0,0,0,0,0,3,1,88,88,88,88,999,99,0,0,0,0,0,8,0,481048,8888,8888,************,98,63,0,0,7,1,12,12,1,0,98884,2008,999,999,99,9999,9999,9999,9999,9,201,3,30,10,46,16,12,5,0,3
48,1,3,0,40,1,2,21,3,0,0,0,0,0,8,9,0,96,0,8,0,8,0,0,0,0,0,0,2,1,88,88,88,88,999,99,0,0,0,0,0,8,0,481048,8888,8888,************,98,63,0,0,7,1,12,12,1,0,98884,2008,999,999,99,9999,9999,9999,9999,9,201,3,30,10,46,16,12,5,0,3
48,1,4,0,30,1,2,23,0,0,0,0,0,0,8,9,0,96,0,8,0,8,0,0,0,0,0,0,2,1,88,88,88,88,999,99,0,0,0,0,0,8,0,481048,8888,8888,************,98,63,0,0,7,1,12,12,1,0,98884,2008,999,999,99,9999,9999,9999,9999,9,201,3,30,10,46,16,12,5,0,3
48,2,1,0,58,1,1,11,3,20,0,0,0,0,8,9,1,0,2,8,0,8,0,0,0,0,0,0,2,1,88,88,88,88,999,99,0,0,0,0,0,8,0,481048,8888,8888,************,98,63,9,0,7,1,3,3,3,0,98884,2007,999,999,99,9999,9999,9999,9999,9,201,3,30,10,46,16,12,5,0,3
48,2,2,0,41,1,2,13,0,0,0,0,0,0,8,9,0,96,0,8,0,8,0,0,0,0,0,0,2,1,88,88,88,88,999,99,0,0,0,0,0,8,0,481048,8888,8888,************,98,63,9,0,7,1,3,3,3,0,98884,2007,999,999,99,9999,9999,9999,9999,9,201,3,30,10,46,16,12,5,0,3
48,2,3,0,27,1,2,21,0,0,0,0,0,0,8,9,0,96,0,8,0,8,0,0,0,0,0,0,2,1,88,88,88,88,999,99,0,0,0,0,0,8,0,481048,8888,8888,************,98,63,9,0,7,1,3,3,3,0,98884,2007,999,999,99,9999,9999,9999,9999,9,201,3,30,10,46,16,12,5,0,3
48,2,4,0,27,1,2,22,0,0,0,0,0,0,8,9,0,96,0,8,0,8,0,0,0,0,0,0,2,1,88,88,88,88,999,99,0,0,0,0,0,8,0,481048,8888,8888,************,98,63,9,0,7,1,3,3,3,0,98884,2007,999,999,99,9999,9999,9999,9999,9,201,3,30,10,46,16,12,5,0,3
48,2,5,0,27,1,2,23,0,0,0,0,0,0,8,9,0,96,0,8,0,8,0,0,0,0,0,0,2,1,88,88,88,88,999,99,0,0,0,0,0,8,0,481048,8888,8888,************,98,63,9,0,7,1,3,3,3,0,98884,2007,999,999,99,9999,9999,9999,9999,9,201,3,30,10,46,16,12,5,0,3
48,3,1,0,48,2,1,11,3,20,0,0,0,0,8,9,0,96,0,8,0,8,0,0,0,0,0,0,2,1,88,88,88,88,999,99,0,0,0,0,0,8,0,481048,8888,8888,************,58,4,0,0,0,0,13,13,2,0,58035,1999,I30,***,4D,1063,0,,3035,,201,3,30,10,46,16,12,5,0,3
48,1,1,0,34,1,1,11,3,99,0,0,0,0,1,9,1,11,2,8,2,8,1,1,0,0,0,0,4,1,4,4,19,23,0,28,1,6,0,0,0,9,0,481049,2009,1923,************,12,2,0,0,0,0,2,9,1,0,12003,1991,MLX,***,2D,1005,0,,2759,,201,4,4,18,55,16,42,0,0,1
